,imdbID,Gross
0,tt2582802,13092000.0
1,tt0047478,269061.0
2,tt0082971,242374454.0
3,tt0050212,27200000.0
4,tt0986264,1204660.0
5,tt1663202,183635922.0
6,tt0338564,89594.0
7,tt0046268,
8,tt0055630,
9,tt0266543,380838870.0
10,tt0042192,10177.0
11,tt0198781,289907418.0
12,tt1979320,26903709.0
13,tt0405159,100422786.0
14,tt0057115,
15,tt0253474,32519322.0
16,tt1895587,44988180.0
17,tt0071315,
18,tt0114746,56882000.0
19,tt0363163,5501940.0
20,tt0119217,138339411.0
21,tt1865505,850043.0
22,tt0074896,
23,tt1280558,
24,tt0347149,4710455.0
25,tt0021749,
26,tt0405508,2197331.0
27,tt0119488,64604977.0
28,tt1187043,6523137.0
29,tt0053125,
30,tt0268978,170708996.0
31,tt0112471,5400000.0
32,tt2084970,91121452.0
33,tt1220719,
34,tt0025316,
35,tt0118849,925402.0
36,tt0088247,38400000.0
37,tt0468569,533316061.0
38,tt0087843,5300000.0
39,tt0072684,
40,tt2024544,56667870.0
41,tt0074958,
42,tt0325980,305388685.0
43,tt0052618,70000000.0
44,tt0364569,2181290.0
45,tt0081398,45250.0
46,tt0036775,
47,tt0120382,125603360.0
48,tt0110357,422783777.0
49,tt0079470,646124.0
50,tt0071853,1229197.0
51,tt0095765,11990401.0
52,tt0075148,117235247.0
53,tt0978762,
54,tt0109117,
55,tt1255953,6857096.0
56,tt0036868,23650000.0
57,tt0080678,
58,tt0093779,30857814.0
59,tt0108052,96067179.0
60,tt0056592,
61,tt0088763,210609762.0
62,tt0095327,
63,tt0482571,53082743.0
64,tt0053291,25000000.0
65,tt0245712,5383834.0
66,tt0476735,
67,tt0407887,132373442.0
68,tt0044741,55240.0
69,tt1130884,127968405.0
70,tt1201607,380955619.0
71,tt0120586,6712241.0
72,tt0114814,23272306.0
73,tt0046438,
74,tt0107048,70906973.0
75,tt0015864,
76,tt0107207,25010410.0
77,tt0045152,
78,tt0073707,
79,tt2948356,341264012.0
80,tt0167261,340478898.0
81,tt0167260,377019252.0
82,tt0095016,81350242.0
83,tt0046911,
84,tt0172495,187670866.0
85,tt0050986,
86,tt0046912,12562.0
87,tt0091251,
88,tt0993846,116866727.0
89,tt0078748,78900000.0
90,tt2106476,610968.0
91,tt0012349,2500000.0
92,tt0372784,205343774.0
93,tt0113247,309811.0
94,tt0107290,356784000.0
95,tt0469494,40218903.0
96,tt0070735,159600000.0
97,tt0032553,
98,tt0032551,
99,tt0052357,3200000.0
100,tt0361748,120523073.0
101,tt0440963,227137090.0
102,tt0435761,414984497.0
103,tt0317248,7563397.0
104,tt1049413,292979556.0
105,tt0060827,
106,tt0266697,70098138.0
107,tt0264464,164435221.0
108,tt0211915,33201661.0
109,tt0031679,
110,tt0080684,290158751.0
111,tt0892769,217387997.0
112,tt0401792,74098862.0
113,tt3659388,228430993.0
114,tt0056172,6000000.0
115,tt0102926,130727000.0
116,tt0053198,
117,tt1853728,162804648.0
118,tt0032138,22202612.0
119,tt2096673,356454367.0
120,tt0050825,
121,tt0042876,
122,tt0083987,
123,tt0245429,10049886.0
124,tt0086190,309125409.0
125,tt1832382,7098492.0
126,tt0044079,
127,tt0041546,
128,tt0180093,3609278.0
129,tt0114369,100125340.0
130,tt0133093,171383253.0
131,tt0091763,137963328.0
132,tt0246578,727883.0
133,tt0167404,293501675.0
134,tt0092067,
135,tt0090605,85200000.0
136,tt0120737,313837577.0
137,tt0120735,3650677.0
138,tt1205489,148085755.0
139,tt1954470,
140,tt0242519,
141,tt1305806,20167424.0
142,tt0083658,27000000.0
143,tt0110413,32346209.0
